sym,ein,entry,xout,exit,qty,net,retpct,reason
JMFINANCIL,2025-07-30,159.80073313832847,2025-09-30,158.5816209555549,1969,-3426.611210254692,-1.0890312641788626,ROTATION
MFSL,2025-06-02,1502.699951171875,2025-10-31,1556.199951171875,220,10670.665358108183,3.227725156789437,ROTATION
COROMANDEL,2025-05-02,2226.731650527435,2025-12-02,2394.6607877765377,134,21490.483653734118,7.2023381733760035,ROTATION
SOLARINDS,2025-05-02,13142.134166042973,2025-12-02,13285.0,22,2190.5921908566447,0.7576575543486965,ROTATION
NAMINDIA,2025-09-01,775.8396424247571,2025-12-02,848.4862414677166,374,26177.11939904139,9.021490270805216,ROTATION
ADANIPOWER,2025-09-30,148.0,2026-01-01,143.25,1940,-10142.00409565,-3.5323224072339094,ROTATION
GVTANDD,2025-09-01,2779.0,2026-02-03,3400.0,104,63537.514192784,21.98408191684336,MKT_GATE
KRBL,2025-09-01,428.70214837605874,2026-02-03,396.20001220703125,677,-22921.329760809436,-7.897606309352597,MKT_GATE
MUTHOOTFIN,2025-09-01,2641.7627803483133,2026-02-03,3693.7673811764625,110,114590.37832784964,39.433166362273056,MKT_GATE
INDIANB,2025-09-01,639.4774075951943,2026-02-03,856.7489287456444,157,33719.768065107666,33.586111130816505,MKT_GATE
MANAPPURAM,2025-09-30,282.75208693812317,2026-02-03,289.04996290739,1015,5441.771670106152,1.8961315041655653,MKT_GATE
RBLBANK,2025-10-31,324.45001220703125,2026-02-03,304.20001220703125,901,-19175.16882882715,-6.559437684908274,MKT_GATE
AUBANK,2025-12-02,949.9500122070312,2026-02-03,985.0,312,9947.7821293897,3.3563784064069777,MKT_GATE
CUB,2025-12-02,210.75,2026-02-03,243.0,1410,44429.138183025,14.951377024986751,MKT_GATE
CANBK,2025-12-02,146.061748731312,2026-02-03,147.63001868046993,2035,2212.7689470503383,0.7444493560983788,MKT_GATE
TVSMOTOR,2026-01-01,3723.983621524885,2026-02-03,3803.4058270440196,82,5502.656600616856,1.80198344354499,MKT_GATE
